"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.160","192.168.1.249","TCP","66","49901  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"2","0.087507","192.168.1.249","192.168.1.160","TCP","54","80  >  49901 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"3","0.605106","192.168.1.160","192.168.1.249","TCP","66","[TCP Retransmission] 49901  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.692912","192.168.1.249","192.168.1.160","TCP","54","80  >  49901 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"5","1.205949","192.168.1.160","192.168.1.249","TCP","66","[TCP Retransmission] 49901  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"6","1.311802","192.168.1.249","192.168.1.160","TCP","54","80  >  49901 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"7","4.928720","EdimaxTe_62:e9:8f","AmazonTe_45:59:71","ARP","42","Who has 192.168.1.249? Tell 192.168.1.160"
"8","4.992250","AmazonTe_45:59:71","EdimaxTe_62:e9:8f","ARP","42","192.168.1.249 is at 38:f7:3d:45:59:71"
"9","9.601275","192.168.1.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"10","10.829179","192.168.1.153","192.168.1.255","UDP","82","57621  >  57621 Len=40"
